USERNAME|REQUESTDATE|HASHTAG
Citi|2013-03-09|#IWD
Citi|2013-03-09|#careeradvancement
Citi|2013-03-09|#CitiWomen
ConEdison|2013-03-09|#ConEdison
BallCorpHQ|2013-03-09|#fruitjuice
BallCorpHQ|2013-03-09|#cans
AESorg|2013-03-09|#AESorg
AESorg|2013-03-09|#ProAudio
blackrock|2013-03-09|#DailyStat
BofA_News|2013-03-09|#retirement
ADI_News|2013-03-09|#embeddedworld
ADI_News|2013-03-09|#in
ADI_News|2013-03-09|#agilent
ADI_News|2013-03-09|#micrium
ADI_News|2013-03-09|#xilinx
ADI_News|2013-03-09|#expresslogic
airproducts|2013-03-09|#airproducts
airproducts|2013-03-09|#womensday
CSX|2013-03-09|#leaders
CSX|2013-03-09|#women
BNYMellon|2013-03-09|#investorrelations
BNYMellon|2013-03-09|#equities
Amgen|2013-03-09|#Amgen
Cognizant|2013-03-09|#big
Cognizant|2013-03-09|#data
BeamGlobal|2013-03-09|#JimBeamBootCamp
Adobe|2013-03-09|#InDesignTeam
CaterpillarInc|2013-03-09|#ExpeditionJax
CabotOG|2013-03-09|#FF
CSC|2013-03-09|#IWD
CSC|2013-03-09|#IWD
DiscoveryComm|2013-03-09|#sxsw
DiscoveryComm|2013-03-09|#catchsxsw
CooperInd|2013-03-09|#FF
Cigna|2013-03-09|#childwellness
CHRobinsonInc|2013-03-09|#HappyInternationalWomensDay
CHRobinsonInc|2013-03-09|#transportation
autodesk|2013-03-09|#Creativity
autodesk|2013-03-09|#sxsw
amazon|2013-03-09|#LittleOne
amazon|2013-03-09|#Baby
AbbottNews|2013-03-09|#IWD
cardinalhealth|2013-03-09|#AORNCongress
Chevron|2013-03-09|#cheapgas
Cummins|2013-03-09|#Cummins
cma|2013-03-09|#CMAJobs
Cerner|2013-03-09|#eclipsecon
ADTstaysafe|2013-03-09|#peaceofmind
ADTstaysafe|2013-03-09|#ADT
ADTstaysafe|2013-03-09|#HomeHealth
Aetna|2013-03-09|#SXSW
Aon_plc|2013-03-09|#riskmanagement
bmcsoftware|2013-03-09|#ITAM
bmcsoftware|2013-03-09|#ITSM
DuPont_News|2013-03-09|#daylightsavings
BHInc|2013-03-09|#rigcount
BHInc|2013-03-09|#oilandgas
autozone|2013-03-09|#TuneUpGuide
autozone|2013-03-09|#TrustworthyAdvice
Dell|2013-03-09|#SXSWi
Dell|2013-03-09|#DellSXSW
conocophillips|2013-03-09|#jobs
AvonInsider|2013-03-09|#Avon
AvonInsider|2013-03-09|#MakeupMaven
CapitalOne|2013-03-09|#ECRegionals
DaVita|2013-03-09|#kidneyaware
CBSTweet|2013-03-09|#TheMentalist
CBSTweet|2013-03-09|#AskMentalist
Akamai|2013-03-09|#Akamai_soti
CarnivalCruise|2013-03-09|#CarnivalSunshine
CarnivalCruise|2013-03-09|#Cruise
Boeing|2013-03-09|#Boeing
DIRECTV|2013-03-09|#OutThere
krogerco|2013-03-09|#cheese
EMCcorp|2013-03-09|#EMC
McKesson|2013-03-09|#CommonWell
McKesson|2013-03-09|#EHR
McKesson|2013-03-09|#interop
JabilCircuitInc|2013-03-09|#automation
JabilCircuitInc|2013-03-09|#manufacturing
myfamilydollar|2013-03-09|#HERSHEYSKISSES
Hospira_Inc|2013-03-09|#DaylightSavings
Fiserv|2013-03-09|#FiservForum
Lowes|2013-03-09|#pets
federatednews|2013-03-09|#whitepaper
federatednews|2013-03-09|#OnPointSeries
federatednews|2013-03-09|#growth
HasbroNews|2013-03-09|#Transformers
HasbroNews|2013-03-09|#BeastHunters
google|2013-03-09|#WomensDay
FastenalCompany|2013-03-09|#FF
MarathonOil|2013-03-09|#IRapp
IngersollRand|2013-03-09|#ENERGY
IngersollRand|2013-03-09|#efficiency
IngersollRand|2013-03-09|#save
GoldmanSachs|2013-03-09|#GoldmanSachs
GoldmanSachs|2013-03-09|#investmentbanking
GoldmanSachs|2013-03-09|#GoldmanSachsReturnshipProgram
Ford|2013-03-09|#gofurther http
KCCorp|2013-03-09|#WomensDay
KCCorp|2013-03-09|#IWD
f5networks|2013-03-09|#F
eBay|2013-03-09|#weekend
HoneywellNow|2013-03-09|#Ethical
Fossil|2013-03-09|#ootd…
EfficiencyNow|2013-03-09|#FF
grainger|2013-03-09|#GraingerShow
HormelFoods|2013-03-09|#hfrecipe
Medtronic|2013-03-09|#MDT
Medtronic|2013-03-09|#innovation
lincolnfingroup|2013-03-09|#financial
lincolnfingroup|2013-03-09|#IWD
JuniperNetworks|2013-03-09|#WebAppSecure
HarrisCorp|2013-03-09|#Indeed
HarrisCorp|2013-03-09|#jobs
MWVPackaging|2013-03-09|#ergonomics
MWVPackaging|2013-03-09|#packaging
MasterCard|2013-03-09|#PricelessLA
HarmanNews|2013-03-09|#Chrysler
HarmanNews|2013-03-09|#SIAG
Merck|2013-03-09|#Feria
Emerson_News|2013-03-09|#HeardAroundEmerson
ExpressScripts|2013-03-09|#patientsafetyawarenessweek
IronMountain|2013-03-09|#data
IronMountain|2013-03-09|#healthIT
EsteeLauder|2013-03-09|#InternationalWomensDay
GileadSciences|2013-03-09|#CROI
leggmason|2013-03-09|#MLPs
leggmason|2013-03-09|#investors
LIFECorporation|2013-03-09|#lab
LIFECorporation|2013-03-09|#westernblot
SCE|2013-03-09|#Blackice
SCE|2013-03-09|#snow
SCE|2013-03-09|#Grapevine
SCE|2013-03-09|#CHPsouthern
HP|2013-03-09|#iPhone
harleydavidson|2013-03-09|#potd
harleydavidson|2013-03-09|#photooftheday
KLATencor_Info|2013-03-09|#BayAreaCCA
JDSU|2013-03-09|#JDSU
JDSU|2013-03-09|#webinar
LillyPad|2013-03-09|#TPPA
LillyPad|2013-03-09|#trade
DnBUS|2013-03-09|#boards
DnBUS|2013-03-09|#CEOs
DnBUS|2013-03-09|#social
DnBUS|2013-03-09|#SoMe
Lennar|2013-03-09|#App
Lennar|2013-03-09|#Realtor
Lennar|2013-03-09|#Realestate
Lennar|2013-03-09|#iPad
intel|2013-03-09|#sxsw
Kelloggs_US|2013-03-09|#ShareBreakfast
PNCNews|2013-03-09|#PNC
Oracle|2013-03-09|#FF
Oracle|2013-03-09|#CloudWorld
Oracle|2013-03-09|#Sydney
MorganStanley|2013-03-09|#FX
TRV_Insurance|2013-03-09|#ice
Teradata|2013-03-09|#DataScience
Teradata|2013-03-09|#BigData
Teradata|2013-03-09|#Analytics
Teradata|2013-03-09|#forrester
