USERNAME|REQUESTDATE|HASHTAG
Cognizant|2013-03-12|#mobility
MetLife|2013-03-12|#PuertoRico
MetLife|2013-03-12|#DominicanRepublic
NetApp|2013-03-12|#NetAppCulture
DuPont_News|2013-03-12|#foodsecurity
MetroPCS|2013-03-12|#RingbackTone
MetroPCS|2013-03-12|#MetroPCS
Emerson_News|2013-03-12|#HeardAroundEmerson
ConEdison|2013-03-12|#ConEdison
DowChemical|2013-03-12|#KeepAmericaBeautiful
Zimmer|2013-03-12|#AAOS
conocophillips|2013-03-12|#Natgas
AIG_LatestNews|2013-03-12|#AB
harleydavidson|2013-03-12|#bikeweek
harleydavidson|2013-03-12|#HD
UTC|2013-03-12|#Green
UTC|2013-03-12|#ener
HasbroNews|2013-03-12|#PlayDoh
HasbroNews|2013-03-12|#FirstPost
HarrisCorp|2013-03-12|#Indeed
HarrisCorp|2013-03-12|#jobs
NASDAQ|2013-03-12|#nasdaq
RyderPR|2013-03-12|#Shreveport
RyderPR|2013-03-12|#NGV
RyderPR|2013-03-12|#naturalgas
nwlrubbermaid|2013-03-12|#InkJoy
Huntington_Bank|2013-03-12|#FillintheBlank
eBay|2013-03-12|#shoes
eBay|2013-03-12|#free
eBay|2013-03-12|#deals
Medtronic|2013-03-12|#runner
Medtronic|2013-03-12|#TCMarathon
Safeway|2013-03-12|#EscapeFire
Safeway|2013-03-12|#rescuehealthcare
GameStop|2013-03-12|#StealoftheWeek
Alcoa|2013-03-12|#alcoaeaglecam
IngersollRand|2013-03-12|#ENERGY
IngersollRand|2013-03-12|#efficiency
IngersollRand|2013-03-12|#save
HarmanNews|2013-03-12|#GenesisConcept
MorganStanley|2013-03-12|#economy
ConAgraFoods|2013-03-12|#Manwich
HoneywellNow|2013-03-12|#asphalt
HoneywellNow|2013-03-12|#energy
HoneywellNow|2013-03-12|#Titan
UPS|2013-03-12|#UPSTPI
UPS|2013-03-12|#WBB
SAICinc|2013-03-12|#BSE
HormelFoods|2013-03-12|#alreadythinkingaboutlunch
HormelFoods|2013-03-12|#hfpoll
Amgen|2013-03-12|#Amgen
RedHatNews|2013-03-12|#RedHat
RedHatNews|2013-03-12|#RHEL
PattersonDental|2013-03-12|#Barclays
AltriaNews|2013-03-12|#webinars
AltriaNews|2013-03-12|#videos
Allstate|2013-03-12|#identitytheft
Humana|2013-03-12|#Workforce
federatednews|2013-03-12|#economy
intel|2013-03-12|#MobileTips
intel|2013-03-12|#InsideMobile
DnBUS|2013-03-12|#Global
DnBUS|2013-03-12|#economy
FirstSolar|2013-03-12|#Desertec
CooperInd|2013-03-12|#CooperPowerSystems
CooperInd|2013-03-12|#distribution
Raytheon|2013-03-12|#MilitaryMonday
Aon_plc|2013-03-12|#Catastrophe
Aon_plc|2013-03-12|#Floods
amazon|2013-03-12|#PCGamers
amazon|2013-03-12|#GoldBox
CSC|2013-03-12|#BigData
