USERNAME|RECORDDATE|FOLLOWERCOUNT|CREATEDATE|LISTEDCOUNT|FRIENDCOUNT|VERIFIED|STATUSESCOUNT|DESCRIPTION|STATUS
exxonmobil|2013-03-12|33296|2009-04-30|0|176|false|1128|The official Twitter page of Exxon Mobil Corporation. Continue the conversation at exxonmobilperspectives.com. Direct all inquiries to exxonmobil.com/contactus.|Rosneft subsidiary acquires interest in ExxonMobil Gulf of Mexico exploration blocks http://t.co/GzQ2qnf2k3
DollarGeneral|2013-03-12|29300|2009-10-21|0|2324|false|1307|We tweet our in-store deals to help you save even more at DG. All deals are limited time & while supplies last! Follow us for daily savings and exclusives.|We're changing things up this week! Save $5 on  your purchase of $30 or more this Saturday, 3/16, at Dollar General! http://t.co/i0FJSPBuc1
Cognizant|2013-03-12|19460|2009-08-28|0|442|false|3025|Cognizant Technology Solutions (NASDAQ:CTSH) - leading global IT and business process outsourcing services provider.|Leveraging #mobility in consumer finance results in improved lead generation. Find out how @ http://t.co/cLc6nEAAnt
MetLife|2013-03-12|6972|2009-09-30|0|11|false|201|Helping to protect 90 million customers around the world with insurance, annuities and employee benefits. For terms and conditions visit http://t.co/mmIJ848u|RT @WBCBaseball: OFFICIAL: @USABaseball to face Team #PuertoRico in 2nd Round of the @WBCBaseball, while the #DominicanRepublic will mee ...
NetApp|2013-03-12|94229|2008-08-18|0|1609|false|4725|Official info on #NetApp news, products, partners, events & technology innovations. Send us your questions via @netapp.|[Video] NetApp does the Harlem Shake at @CiscoLiveMEL: http://t.co/uknz3kx11Z  #NetAppCulture via @NetAppANZ
Corning|2013-03-12|5935|2009-08-13|0|313|false|1825|Official Twitter of Corning Incorporated, the world's leader in specialty glass and ceramics.  Also on @CorningGorilla. Terms of use: http://bit.ly/QDDOqi|RT @thejongardner: Here's a look at the post-internet future https://t.co/zCOxNHIVrk shout: @quartznews @RebelMouse @verge @Corning
DuPont_News|2013-03-12|17630|2009-03-12|0|188|false|11796|DuPont uses innovation & collaboration to tackle some of the world's biggest challenges. See how we're making a difference in food, fuel & protection.|Thanks for spreading the word about #foodsecurity @Alcuno @freshagenda2013
Seagate|2013-03-12|22950|2008-05-13|0|3453|false|6630|The world leader in storage solutions that connect people with their content. Life Happens...back it up!    (Support is available here: @AskSeagate)|Win a Vans x Seagate SXSW Prize Pack - SXSW 2013 - Vans http://t.co/DH6IcAYiaF
Ross_Careers_ny|2013-03-12|312|2011-08-08|0|66|false|283|Behind every bargain is a a group of talented individuals at Ross Stores, Inc. If you’re ready to be part of this fortune 500 company- opportunities await!|Happy Friday Tweeters!
MonsantoCo|2013-03-12|24020|2007-11-30|0|4427|false|7321|Monsanto is an agricultural company using innovation to help farmers produce more while conserving more. Tweets by the Online Team.|@jmein01 Thanks for the RT
MetroPCS|2013-03-12|33365|2010-01-08|0|2094|false|4299|Official MetroPCS account. Nation’s most affordable unlimited talk, text and 4G LTE data all with no contract. Get updates on news, promotions & 4G LTE for All!|When your friends get to rock out to your #RingbackTone, they’ll be disappointed when you actually pick up: http://t.co/nyj7EmrLqF #MetroPCS
comcast|2013-03-12|19389|2009-11-13|0|73|false|408|Comcast Corporation is a global media and technology company with two primary businesses, Comcast Cable and NBCUniversal. For support tweet @comcastcares|Comcast launches research and development grants fund http://t.co/ym957AsC6M
Emerson_News|2013-03-12|4471|2009-08-03|0|715|false|845|Global mfg. and tech. company working to solve the world's most complex engineering challenges. On Facebook at http://www.facebook.com/EmersonCorporate.   |"Emerson has a compelling mission and vision in what we do." - Katie, @EmrsnNPDataCntr #HeardAroundEmerson
EA|2013-03-12|1093532|2008-06-25|0|524|false|4697|Official Twitter account for EA. Follow for updates on all your favorite EA games|Who will you be voting for on the Madden 25 Cover Vote? @SportsNation @EASPORTS
EsteeLauder|2013-03-12|52159|2011-04-29|0|391|false|2353|Estée Lauder Official U.S. Twitter: Your source for expert advice on being beautiful. Trends. Tips. More. |Need some party ideas? Our Guest Pinner @bonnietsang can help—check out her Throw A Party board on our Pinterest page:http://t.co/7FUwZnaun5
drpepper|2013-03-12|115061|2009-01-29|0|34341|false|15042|Always One of a Kind|@JossRadillo Our pleasure! :)
ConEdison|2013-03-12|21315|2009-02-06|0|235|false|1919|Tweeting for Con Edison of New York.This handle is monitored M-F, 8a-6p.For official customer concerns 24/7, go to http://t.co/95HKC9pz or call 1-800-752-6633|#ConEdison ‘s "Time-of-Use" option helps you reduce electricity use. Take the quiz &amp; see if this would benefit you http://t.co/RgF1KvPzpD
PPGIndustries|2013-03-12|7241|2009-04-10|0|153|false|849|PPG is a global supplier of paints, coatings, optical products, specialty materials, glass and fiber glass.|PPG to feature innovative emerging technology and  industry-standard fiber glass products at JEC Europe 2013: http://t.co/Q29fQvUfTv
Motorola|2013-03-12|142278|2009-06-22|0|17845|false|12094|Official Motorola Mobility Twitter page: your up-to-date source for all things mobile. | Tech support: http://moto.ly/support or @MotorolaSupport. |The free Google Goggles app from the Play Store on DROID RAZR MAXX HD lets you see the world in a whole new way: http://t.co/sdEenwAj8E
DowChemical|2013-03-12|14326|2008-08-01|0|1354|false|3084|Together, the elements of science and the human element can solve anything. Learn more about #Solutionism at dow.com/solutionism.|.@DowChemical is proud to be part of #KeepAmericaBeautiful for the 6th year in a row! RT if you plan on volunteering in your community!
Zimmer|2013-03-12|915|2011-02-27|0|203|false|789|Your source for what’s happening at Zimmer. We offer news, stories, viewpoints on issues and corrections & clarifications to the public record regarding Zimmer.|. @AAOS2013 floor plan and list of exhibitors. Don't forget to stop by Booth 529 to say hello! http://t.co/l8ICWapPsc #AAOS2013
unumnews|2013-03-12|1548|2009-01-27|0|152|false|570|For 160 years, Unum has provided employee benefits solutions that help employers manage their businesses and employees protect their families and livelihoods.|RT @LIFE_Foundation: Do you have an emergency fund for unexpected expenses? Great tips to determine how much you need: http://t.co/lMytP ...
QuestDX|2013-03-12|1940|2009-09-22|0|248|false|395|News and views from the world leader in diagnostic testing, information and services.|RT @nkf: Kidney fact or fiction? You decide, http://t.co/n4ja6QSLVv
jcpenney|2013-03-12|111891|2008-11-17|0|1275|false|7744|Dear America, You Deserve to Look Better and Live Better. Yours Truly, jcp|Spring brights are twice as nice. http://t.co/3aan74McB1
ADI_News|2013-03-12|6608|2009-05-04|0|1916|false|4009|We're a leading designer & manufacturer of semiconductors; specializing in high performance signal processing ICs & solutions. Most tweets by Patrick @kusior.|RT @EmbeddedVision: February 2013 Embedded World Conference Demonstration: EBSYS (Analog Devices Partner) http://t.co/j7rDoil6oB
conocophillips|2013-03-12|27991|2009-03-09|0|114|false|2190|Responsibly delivering energy to the world. (NYSE: COP)|#Natgas exports will add billions to US GDP and eliminate millions of C02 emissions. For more  LNG exports facts: http://t.co/faH7Q3o7uX
CONSOL_Energy|2013-03-12|1696|2009-07-14|0|33|false|339|CONSOL Energy Inc. (NYSE: CNX) is a multi-energy producer of both high-Btu coal and natural gas as well as providing transportation and other energy services. |CONSOL Energy President Nick DeIuliis talks safety at the West Virginia Coal Association's 40th Annual Mining... http://t.co/02nMsn4eRE
AIG_LatestNews|2013-03-12|5184|2010-03-24|0|1127|false|491|We’re the new AIG. Together, we’re going to make tomorrow great – for our customers, ourselves, and communities around the world. AIG: Bring on tomorrow.|We think it looks great! @nz7s  Sneak preview #AB7s billboards going up in HK ahead of#HK7s. Thanks @AIG_LatestNews http://t.co/08rQmwANCq
harleydavidson|2013-03-12|113400|2008-11-04|0|842|false|4376|The official Twitter feed for the Harley-Davidson Motor Company.    We fulfill dreams of personal freedom.|Style for you &amp; your ride. See the 2013 P&amp;A and MotorClothes line-ups everyday during #bikeweek. 9am-6pm @ Riverfront Park #HD110Daytona
DollarTree|2013-03-12|55177|2009-12-04|0|12039|false|1816|The largest single price point retailer searching the world for the stuff you need and want. And it all sells for $1.|What brand names do you find at your Dollar Tree? http://t.co/kptlMiVtbz http://t.co/ReVfTbCIFh
